#{"t_start": 1653315944.3466618, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t,final_status,is_success
-1.143861,37,505.69568,collision,False
-1.155663,34,723.287896,collision,False
-1.088645,20,871.072061,collision,False
-1.108098,30,1017.442828,collision,False
-1.102263,28,1250.48627,collision,False
-1.124458,31,1458.083541,collision,False
-1.064498,22,1562.521664,collision,False
-1.084608,22,1754.461697,collision,False
-1.115856,31,1904.869386,collision,False
-1.265799,59,2206.696599,collision,False
-1.138428,25,2347.223954,collision,False
-1.062463,21,2559.197384,collision,False
-1.165555,40,2820.069752,collision,False
-1.091128,35,3064.752748,collision,False
-1.217375,33,3341.396237,collision,False
-1.1361,30,3581.68979,collision,False
-1.327382,68,4210.706701,collision,False
-1.676495,148,4711.264158,collision,False
-1.439364,86,5084.673516,collision,False
-1.266196,47,5218.428185,collision,False
-1.34776,64,5481.098187,collision,False
-2.002924,218,6616.545284,collision,False
-1.843509,300,8616.227806,max_steps_exceeded,False
-1.732166,187,9582.698073,collision,False
-2.03926,256,10471.198549,collision,False
-1.187065,300,11733.214485,max_steps_exceeded,False
-1.210335,54,11894.688601,collision,False
-1.612994,300,13827.592695,max_steps_exceeded,False
-1.307753,300,14996.664104,max_steps_exceeded,False
-1.384247,85,15204.150649,collision,False
-0.861956,300,16431.60446,max_steps_exceeded,False
-1.694594,300,17265.117155,max_steps_exceeded,False
-1.950233,254,19359.123688,collision,False
-1.270888,300,20270.133991,max_steps_exceeded,False
-0.722314,300,21465.678805,max_steps_exceeded,False
-1.10793,300,22677.266648,max_steps_exceeded,False
-1.526668,132,23096.867222,collision,False
-1.139106,300,24901.568016,max_steps_exceeded,False
-1.394837,300,26097.1305,max_steps_exceeded,False
-0.829729,300,27359.171573,max_steps_exceeded,False
-1.622377,300,28212.218288,max_steps_exceeded,False
-1.048263,24,28305.631906,collision,False
-1.148962,300,30373.505435,max_steps_exceeded,False
-0.854196,300,31250.560495,max_steps_exceeded,False
-1.037442,16,31301.272417,collision,False
1.858841,90,31906.359347,success,True
-1.247444,300,32706.430281,max_steps_exceeded,False
1.947384,53,32873.11253,success,True
1.979929,17,32947.204349,success,True
-1.178609,62,33151.831461,collision,False
-2.150618,282,34284.800959,collision,False
-0.998275,300,36395.260042,max_steps_exceeded,False
-1.287939,300,37251.215555,max_steps_exceeded,False
-0.683035,300,38466.614545,max_steps_exceeded,False
-1.206144,87,38743.643769,collision,False
1.907055,64,38926.900397,success,True
-1.160051,300,40947.234499,max_steps_exceeded,False
-1.258965,300,41788.693547,max_steps_exceeded,False
-1.376041,300,42976.513561,max_steps_exceeded,False
-0.930584,300,43932.642445,max_steps_exceeded,False
-0.81634,300,45126.420788,max_steps_exceeded,False
-1.016704,300,47271.225505,max_steps_exceeded,False
-1.178297,300,48221.125409,max_steps_exceeded,False
1.481485,297,49425.267865,success,True
-0.918874,300,50305.463791,max_steps_exceeded,False
1.391886,283,52264.603518,success,True
-0.687671,300,53154.861897,max_steps_exceeded,False
1.943463,38,53646.867661,success,True
1.892317,55,53842.277195,success,True
-0.890733,300,54714.048972,max_steps_exceeded,False
-1.398969,181,55592.335763,collision,False
-1.062888,300,57248.102026,max_steps_exceeded,False
-1.617189,300,58578.28481,max_steps_exceeded,False
-1.543834,185,59148.745342,collision,False
1.963547,21,59250.266715,success,True
1.79493,102,59567.679108,success,True
-1.234127,94,60211.223377,collision,False
